2026-06-24 04:51:16 status triggers-pending kali-menu:all 2026.1.5
2026-06-24 04:51:17 status triggers-pending man-db:amd64 2.13.1-1
2026-06-24 04:51:17 status unpacked racc:all 1.8.1-2
2026-06-24 04:51:18 install ruby-concurrent:all <none> 1.3.6-1
2026-06-24 04:51:18 status half-installed ruby-concurrent:all 1.3.6-1
2026-06-24 04:51:18 status unpacked ruby-concurrent:all 1.3.6-1
2026-06-24 04:51:18 install ruby-i18n:all <none> 1.14.8-1
2026-06-24 04:51:18 status half-installed ruby-i18n:all 1.14.8-1
2026-06-24 04:51:18 status unpacked ruby-i18n:all 1.14.8-1
2026-06-24 04:51:19 install ruby-tzinfo:all <none> 2.0.6-1
2026-06-24 04:51:19 status half-installed ruby-tzinfo:all 2.0.6-1
2026-06-24 04:51:19 status unpacked ruby-tzinfo:all 2.0.6-1
2026-06-24 04:51:19 install ruby-connection-pool:all <none> 3.0.2-1
2026-06-24 04:51:19 status half-installed ruby-connection-pool:all 3.0.2-1
2026-06-24 04:51:19 status unpacked ruby-connection-pool:all 3.0.2-1
2026-06-24 04:51:20 install ruby-minitest:all <none> 6.0.1+really5.27.0-2
2026-06-24 04:51:20 status half-installed ruby-minitest:all 6.0.1+really5.27.0-2
2026-06-24 04:51:20 status unpacked ruby-minitest:all 6.0.1+really5.27.0-2
2026-06-24 04:51:21 install ruby-base64:all <none> 0.3.0-1
2026-06-24 04:51:21 status half-installed ruby-base64:all 0.3.0-1
2026-06-24 04:51:21 status unpacked ruby-base64:all 0.3.0-1
2026-06-24 04:51:21 install ruby-activesupport:all <none> 2:7.2.3.1+dfsg-1
2026-06-24 04:51:21 status half-installed ruby-activesupport:all 2:7.2.3.1+dfsg-1
2026-06-24 04:51:22 status unpacked ruby-activesupport:all 2:7.2.3.1+dfsg-1
2026-06-24 04:51:22 install ruby-ffi:amd64 <none> 1.17.4+dfsg-1
2026-06-24 04:51:22 status half-installed ruby-ffi:amd64 1.17.4+dfsg-1
2026-06-24 04:51:24 status unpacked ruby-ffi:amd64 1.17.4+dfsg-1
2026-06-24 04:51:25 install ruby-get-process-mem:all <none> 1.0.0-1
2026-06-24 04:51:25 status half-installed ruby-get-process-mem:all 1.0.0-1
2026-06-24 04:51:25 status unpacked ruby-get-process-mem:all 1.0.0-1
2026-06-24 04:51:25 install ruby-mini-portile2:all <none> 2.8.9-1
2026-06-24 04:51:25 status half-installed ruby-mini-portile2:all 2.8.9-1
2026-06-24 04:51:25 status unpacked ruby-mini-portile2:all 2.8.9-1
2026-06-24 04:51:26 install ruby-pkg-config:all <none> 1.6.5-1
2026-06-24 04:51:26 status half-installed ruby-pkg-config:all 1.6.5-1
2026-06-24 04:51:26 status unpacked ruby-pkg-config:all 1.6.5-1
